class,precision,recall,f1, support
0,0.988787,0.989796,0.989291,980
1,0.980919,0.996476,0.988636,1135
2,0.986460,0.988372,0.987415,1032
3,0.991063,0.988119,0.989588,1010
4,0.981781,0.987780,0.984772,982
5,0.974614,0.989910,0.982202,892
6,0.991579,0.983299,0.987421,958
7,0.977713,0.981518,0.979612,1028
8,0.994703,0.964066,0.979145,974
9,0.983085,0.979187,0.981132,1009
