class,precision,recall,f1, support
0,0.988798,0.990816,0.989806,980
1,0.982624,0.996476,0.989501,1135
2,0.987427,0.989341,0.988383,1032
3,0.991054,0.987129,0.989087,1010
4,0.981763,0.986762,0.984256,982
5,0.976770,0.989910,0.983296,892
6,0.989507,0.984342,0.986918,958
7,0.975869,0.983463,0.979651,1028
8,0.994675,0.958932,0.976477,974
9,0.980159,0.979187,0.979673,1009
