class,precision,recall,f1, support
0,0.984833,0.993878,0.989335,980
1,0.975841,0.996476,0.986051,1135
2,0.983495,0.981589,0.982541,1032
3,0.973633,0.987129,0.980334,1010
4,0.984818,0.990835,0.987817,982
5,0.984287,0.983184,0.983735,892
6,0.991543,0.979123,0.985294,958
7,0.955408,0.979572,0.967339,1028
8,0.987302,0.957906,0.972381,974
9,0.984600,0.950446,0.967221,1009
