TIME STAMP             , GPU 1 UTIL, GPU 1 SCLK, GPU 1 BRD PWR, GPU 1 TEMP, GPU 1 HOTSPOT TEMP, GPU 1 FAN, GPU 1 VOLTAGE
N/A                    ,      8.45 ,    321.90 ,         42.51,     39.20 ,             45.49 ,     0.00 ,       749.65
2025-08-17 13:28:03.372,      6.000,    101.000,         43   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:03.623,     11.000,    229.000,         37   ,     39.000,             45.000,     0.000,       746.000
2025-08-17 13:28:03.878,      7.000,    152.000,         35   ,     39.000,             45.000,     0.000,       733.000
2025-08-17 13:28:04.123,     13.000,    273.000,         39   ,     39.000,             45.000,     0.000,       754.000
2025-08-17 13:28:04.374,      8.000,    172.000,         40   ,     39.000,             45.000,     0.000,       739.000
2025-08-17 13:28:04.625,      9.000,    198.000,         35   ,     39.000,             45.000,     0.000,       736.000
2025-08-17 13:28:04.875,     10.000,    207.000,         40   ,     39.000,             45.000,     0.000,       743.000
2025-08-17 13:28:05.123,      7.000,    168.000,         40   ,     39.000,             45.000,     0.000,       734.000
2025-08-17 13:28:05.374,      7.000,    123.000,         41   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:05.631,      6.000,     89.000,         42   ,     39.000,             45.000,     0.000,       728.000
2025-08-17 13:28:05.878,      8.000,    139.000,         35   ,     39.000,             45.000,     0.000,       738.000
2025-08-17 13:28:06.122,      7.000,    162.000,         42   ,     39.000,             45.000,     0.000,       733.000
2025-08-17 13:28:06.374,      6.000,    107.000,         38   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:06.630,      7.000,    131.000,         35   ,     39.000,             45.000,     0.000,       730.000
2025-08-17 13:28:06.873,      6.000,    100.000,         37   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:07.126,      7.000,    134.000,         37   ,     39.000,             45.000,     0.000,       724.000
2025-08-17 13:28:07.375,      7.000,    142.000,         37   ,     39.000,             45.000,     0.000,       729.000
2025-08-17 13:28:07.631,      6.000,    131.000,         37   ,     39.000,             45.000,     0.000,       730.000
2025-08-17 13:28:07.878,      7.000,    141.000,         37   ,     39.000,             45.000,     0.000,       732.000
2025-08-17 13:28:08.130,      6.000,     96.000,         42   ,     39.000,             45.000,     0.000,       725.000
2025-08-17 13:28:08.373,      7.000,    166.000,         35   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:08.630,      6.000,     95.000,         36   ,     39.000,             45.000,     0.000,       727.000
2025-08-17 13:28:08.880,      7.000,    162.000,         42   ,     39.000,             45.000,     0.000,       732.000
2025-08-17 13:28:09.125,      6.000,     90.000,         37   ,     39.000,             45.000,     0.000,       726.000
2025-08-17 13:28:09.378,      6.000,    148.000,         35   ,     39.000,             45.000,     0.000,       729.000
2025-08-17 13:28:09.624,      7.000,     97.000,         38   ,     39.000,             45.000,     0.000,       727.000
2025-08-17 13:28:09.877,      7.000,    153.000,         38   ,     39.000,             45.000,     0.000,       732.000
2025-08-17 13:28:10.130,      6.000,     78.000,         43   ,     39.000,             45.000,     0.000,       729.000
2025-08-17 13:28:10.373,      6.000,     90.000,         37   ,     39.000,             45.000,     0.000,       729.000
2025-08-17 13:28:10.624,      6.000,     97.000,         37   ,     39.000,             45.000,     0.000,       726.000
2025-08-17 13:28:10.873,      7.000,    159.000,         37   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:11.125,      7.000,     97.000,         38   ,     39.000,             45.000,     0.000,       735.000
2025-08-17 13:28:11.378,     21.000,   1899.000,         50   ,     39.000,             45.000,     0.000,       877.000
2025-08-17 13:28:11.626,     21.000,   2012.000,         64   ,     40.000,             47.000,     0.000,       910.000
2025-08-17 13:28:11.876,     22.000,   2049.000,         65   ,     40.000,             48.000,     0.000,       914.000
2025-08-17 13:28:12.124,     22.000,   2049.000,         65   ,     40.000,             48.000,     0.000,       914.000
2025-08-17 13:28:12.373,     20.000,   1957.000,         64   ,     40.000,             48.000,     0.000,       893.000
2025-08-17 13:28:12.629,      5.000,    128.000,         65   ,     40.000,             48.000,     0.000,       745.000
2025-08-17 13:28:12.885,      4.000,     97.000,         60   ,     40.000,             48.000,     0.000,       725.000
2025-08-17 13:28:13.125,      4.000,    111.000,         64   ,     40.000,             48.000,     0.000,       738.000
2025-08-17 13:28:13.381,      4.000,    111.000,         64   ,     40.000,             48.000,     0.000,       738.000
2025-08-17 13:28:13.630,      4.000,     87.000,         45   ,     40.000,             47.000,     0.000,       717.000
2025-08-17 13:28:13.877,      5.000,     84.000,         40   ,     39.000,             45.000,     0.000,       726.000
2025-08-17 13:28:14.128,      7.000,    132.000,         40   ,     39.000,             45.000,     0.000,       731.000
2025-08-17 13:28:14.373,      6.000,     98.000,         36   ,     39.000,             45.000,     0.000,       728.000
2025-08-17 13:28:14.624,      7.000,    129.000,         37   ,     39.000,             45.000,     0.000,       733.000
2025-08-17 13:28:14.872,      6.000,     72.000,         37   ,     39.000,             45.000,     0.000,       726.000
2025-08-17 13:28:15.122,      9.000,    197.000,         37   ,     39.000,             45.000,     0.000,       738.000
2025-08-17 13:28:15.373,     12.000,    276.000,         40   ,     40.000,             45.000,     0.000,       750.000
2025-08-17 13:28:15.631,     12.000,    260.000,         37   ,     39.000,             45.000,     0.000,       751.000
2025-08-17 13:28:15.877,     11.000,    242.000,         36   ,     39.000,             45.000,     0.000,       746.000
